SR-ID,Title,SN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status
SR-012,FFmpeg-missing detection,SN-014,"The system shall detect when FFmpeg is not available on PATH and shall fail with a plain-language message naming FFmpeg as the cause and a non-zero exit status, without attempting a build.","Implements SN-014 for the FFmpeg-missing case so the failure is loud, named, and actionable. Verification is Demonstration: the resolve/None logic (FFmpeg-not-locatable -> named failure) is unit-tested (resolve::tests pick_none_when_no_source_sr027) and the preflight check_program path is exercised, but the end-to-end absent-FFmpeg message cannot be asserted deterministically in CI/local where FFmpeg is installed on PATH (the test harness cannot remove FFmpeg from a shared PATH), so the absent-FFmpeg end-to-end message is a human/Manual demo.","With FFmpeg absent from PATH, `validate` and `build` print a message identifying FFmpeg-not-found and a fix hint, produce no output file, and exit non-zero.","command={validate,build}",M,Demonstration,Implemented
SR-013,FFmpeg-error handling with no false success,SN-014,"The system shall surface a non-zero FFmpeg exit or encode failure as a plain-language error naming the affected file/output and shall itself exit non-zero, never reporting success when no valid output was produced, and shall abort a stalled FFmpeg process after a configurable inactivity timeout (default 120 s with no encoder progress/output) rather than waiting indefinitely.","Implements SN-014 for the FFmpeg-error case so the user is never told a failed run succeeded, and bounds a wedged FFmpeg so an unattended run cannot block forever.","When FFmpeg exits non-zero during an output, the tool reports the failing output/file and the error, exits non-zero, and lists no successfully-written file for that output. If FFmpeg produces no progress/output for longer than the inactivity timeout (default 120 s, configurable), the tool aborts the FFmpeg process, reports the timeout naming the affected output, and exits non-zero — i.e. the run always terminates within (work time + one timeout interval), never hanging indefinitely.","failure={ffmpeg-nonzero-exit,broken-pipe,inactivity-timeout}; timeout_secs_default=120; timeout=configurable",M,Test,Implemented
SR-014,Corrupt/unsupported input skip-and-continue,SN-015,"The system shall, by default, skip an input file it cannot read/decode, log the skipped file path and the reason, continue processing remaining files, report the total skipped count in the completion summary, and define exit status by whether any valid output was produced: exit zero when ≥1 valid output is written, exit non-zero with a plain ""no outputs produced"" message when every input was skipped (zero valid outputs).","Implements SN-015 so one bad file never aborts a long run and the user can decide whether to re-source skipped items; the all-skipped case must fail loudly so an empty run is never mistaken for success.","Given a media set containing ≥1 unreadable/unsupported file alongside valid files, `build` completes, produces output from the valid files, logs each skipped file with a reason, and the summary states the skipped count; the run exits zero when at least one valid output was produced. When EVERY input is skipped (zero valid outputs), `build` exits non-zero and emits a plain-language ""no outputs produced"" message rather than exiting zero.","cause={corrupt,unsupported-format,unreadable}; default-behavior=skip-and-continue; valid-outputs={>=1,0}; exit={zero-when->=1,nonzero-when-0}",M,Test,Verified
SR-015,Storage-full detection without complete-looking output,SN-016,"The system shall detect a write failure caused by insufficient disk space for output or temporary data, stop with a plain-language out-of-disk-space message naming the path, fail the run with a non-zero exit, and not leave a finalized output file that appears complete.","Implements SN-016 so a full disk fails loudly instead of silently producing an unusable truncated file.","When the output/temp volume cannot accommodate the write, the tool emits an out-of-space message naming the path, exits non-zero, and no file with the final output name is left for the affected output.","target={output-volume,temp-volume}",M,Test,Verified
SR-016,Output/input path missing or unwritable handling,SN-017,"The system shall detect when the configured output base_dir (or input media_root) is missing or unwritable before/at write time, report the specific path and the problem in plain language, and stop cleanly with a non-zero exit rather than crashing cryptically or writing nowhere.","Implements SN-017 so removed/unwritable SD/USB/NAS paths produce a clear, path-named failure.","With output base_dir removed or read-only (or media_root missing), the tool names the exact path and the problem, exits non-zero, and produces no silently-discarded output; the failure is a plain message, not an unhandled panic/stack trace.","path={output_base_dir,media_root}; condition={missing,unwritable}; timing={pre-run,mid-run}",M,Test,Verified
SR-017,Multiple output definitions per run,SN-007,"The system shall accept multiple `[[outputs]]` definitions in one config and produce one MP4 per definition in a single `build`, each honoring its own resolution, fps, and quality.","Implements SN-007 so a user with several frames produces all targets in one run instead of re-running per frame.","Given N output definitions, one `build` writes N distinct MP4s (one per definition); ffprobe confirms each output's resolution/fps match its definition.","N={1,2,3}; per-output={resolution,fps,quality_crf}",S,Test,Verified
SR-018,Case-insensitive ignore list,SN-008,"The system shall exclude files and folders whose path matches any configured ignore pattern, matching case-insensitively.","Implements SN-008 so private albums are kept off the frame regardless of letter case.","Given ignore_patterns and a media set, no file whose path contains a pattern (matched case-insensitively) appears in the scanned media or any output; non-matching files are still included.","case={lower,UPPER,Mixed}; target={file,folder}",S,Test,Verified
SR-019,Honest capability/gap reporting,SN-009,"The system's documentation shall mark not-yet-implemented Rust-engine features (`bulk_video_time_min` part-splitting) as unimplemented and direct the user to the PowerShell pipeline or a workaround where the Rust engine falls short; features that have since been implemented (audio passthrough, SR-032) shall NOT be listed as gaps.","Implements SN-009 so the user is not surprised mid-project by a missing feature, and is not misled into thinking an implemented feature (audio) is missing.","The README/quick-reference explicitly label `bulk_video_time_min` splitting as not implemented in the Rust engine and name the PowerShell path/workaround; no doc claims that feature works today, and no doc still lists audio as unimplemented (audio passthrough is covered by SR-032).","feature={bulk_video_splitting}",M,Inspection,Verified
SR-020,Single discoverable quick-reference,SN-010;SN-011,"The system documentation shall provide one canonical quick-reference (the core commands and the recommended frame settings) that is discoverable from the README, with all other docs linking to it rather than restating its values.","Implements SN-010 (fast re-entry) and SN-011 (single source) so the few key facts exist in exactly one place.","A quick-reference containing the commands and recommended starting settings exists and is linked from the README; the recommended-settings values appear in exactly one location and other mentions link to it.","content={commands,recommended-settings}",S,Inspection,Verified
SR-021,No conflicting restated constraints across docs,SN-011,"The system documentation shall state each output constraint/setting value once and reference it elsewhere, with no constraint restated with a conflicting value across docs.","Implements SN-011 so the user never sees the same setting explained with different values.","An inspection of README/roadmap/spec/quick-reference finds no constraint or setting (resolution set, fps range, CRF default, 3.5 GB threshold) given conflicting values; shared facts are stated once and linked.","constraint={fps-range,crf-default,size-threshold,resolution-set}",S,Inspection,Verified
SR-022,Deterministic reproducible output,SN-012,"The system shall produce equivalent output when re-run on unchanged media with an unchanged config, using deterministic per-file Ken Burns parameters seeded from the file path.","Implements SN-012 so the user can compare results across config tweaks without chasing random pan/zoom changes.","Two `build` runs over identical media and identical config produce per-clip Ken Burns motion that is identical (same path-seeded pan/zoom/rotation parameters); differences attributable only to non-deterministic encoder timing, not to motion.","run={1,2}; seed-source=file-path",C,Analysis,Verified
SR-023,Prebuilt binary distribution via CI to GitHub Releases (FFmpeg not bundled),SN-019,"The system shall be distributed as a prebuilt Windows binary named `make_video_slideshow.exe`, built by CI and published as a GitHub Releases asset on tag, whose only external runtime dependency is FFmpeg; FFmpeg shall NOT be bundled or redistributed in the download but obtained at runtime per SR-027, and the binary shall require no Rust toolchain, build tools, or source checkout to run.","Implements SN-019 so a non-programmer can download-and-run; the engineering realization of the end-user run path in SR-001, with FFmpeg auto-fetched (SR-027) rather than shipped to avoid redistribution.","A prebuilt `make_video_slideshow.exe` asset, produced by the CI workflow on a release tag, is published on a GitHub Releases page; the published artifact does not bundle/contain FFmpeg binaries. On a clean Windows host with NO Rust toolchain or build tools installed, the downloaded `make_video_slideshow.exe` runs `validate` and `build` to completion (producing a playable MP4) using only the binary + an FFmpeg obtained per SR-027; the binary requires no .NET/Rust runtime install.","binary=make_video_slideshow.exe; built-by=ci-on-tag; source=github-releases; ffmpeg-bundled=no; host=clean-no-rust; command={validate,build}",M,Demonstration,Implemented
SR-024,In-binary startup dependency self-check and first-run wizard launch,SN-020,"The system shall, on every startup, perform a dependency self-check that detects whether its runtime dependency (FFmpeg) is locatable and, when interactive (SR-028), prompts the user to fetch/locate it (via SR-027); and on first run with no existing config it shall launch the GUI setup wizard (SR-026) — replacing any standalone setup script and requiring no Rust toolchain.","Implements SN-020: setup is built into the exe (startup self-check + first-run wizard) rather than a separate installer script, removing the manual download/copy/PATH friction SN-001 warns about while keeping non-interactive runs unblocked (SR-028).","On every launch `make_video_slideshow.exe` runs a dependency self-check that reports in plain language whether FFmpeg is locatable; when FFmpeg is missing and the session is interactive, it prompts to fetch/locate it (SR-027); when no config exists and the session is interactive (first run), it launches the GUI wizard (SR-026) before proceeding. The self-check requires no Rust, runs on a clean Windows host, and in a non-interactive session shows no prompt/GUI (SR-028). Permutation matrix: config-present x ffmpeg-present determines whether the wizard and/or fetch prompt appear.","startup=every-launch; config={present,absent}; ffmpeg={present,absent}; wizard-launched={yes-when-no-config-and-interactive,no}; rust-required=no",M,Test,Draft
SR-025,End User vs Developer documentation audience split,SN-021,"The system documentation shall present two clearly separated paths: an End User (run) path — download `make_video_slideshow.exe` (SR-023) + the in-binary first-run wizard/startup self-check (SR-024/SR-026) + auto-fetched FFmpeg (SR-027), with no Rust — and a Developer (build-from-source) path requiring the Rust toolchain + FFmpeg, with the end-user quick-start containing no Rust/compiler step.","Implements SN-021 so the audience split is explicit and a non-programmer is never accidentally routed into installing Rust; coordinated with the UX docs (SR-019/SR-020/SR-021).","Inspection of README/quick-reference shows the End User (run) path and the Developer (build-from-source) path as distinct, labeled sections; the End User quick-start steps reference only the prebuilt `make_video_slideshow.exe` (SR-023), its first-run wizard/self-check (SR-024/SR-026), and the auto-fetched/locatable FFmpeg (SR-027) — not the retired setup script — and contain no Rust/`cargo`/compiler step; any Rust/`cargo` build instructions appear only under the Developer section.","audience={end-user,developer}; end-user-rust-steps=0",C,Inspection,Verified
SR-026,First-run GUI wizard collects settings and writes a valid config,SN-022,"The system shall, on first run with no config in an interactive session, present a GUI wizard (PowerShell/WinForms, launched by the exe) that collects the source/media path, the intermediary/temp video path, the frame defaults (resolution, fps, quality), and a single-vs-multiple-frames choice, and on finish shall map the collected values into a valid config written per SR-030 such that the run can proceed.","Implements SN-022 so a non-programmer is guided through setup with a few plain questions instead of finding and hand-editing a config file; keeps the values->valid-config mapping testable independently of the GUI itself.","GUI (Demonstration): on first run with no config in an interactive session the wizard appears, collects source path, intermediary/temp path, frame defaults (resolution/fps/quality), and single-vs-multiple-frames, and on completion the run proceeds with the new config. Config-mapping (separately testable, no GUI required): given a set of wizard-collected values, the value->config mapping produces a config that parses and passes `validate` (SR-002/SR-003), with each collected field landing in its documented config field; the single-frames choice yields one `[[outputs]]`, the multiple-frames choice yields multiple. The wizard appears only in interactive use (SR-028).","collects={source_path,temp_path,resolution,fps,quality,single-or-multiple}; frames={single,multiple}; mapping-yields=valid-config",M,Demonstration,Implemented
SR-027,Auto-fetch FFmpeg to per-user dir with offline/existing fallback,SN-023,"The system shall, when FFmpeg is not already locatable, auto-fetch it to a per-user directory that requires no administrator elevation, and shall provide a fallback that lets the user point the tool at an existing FFmpeg (working offline / when auto-fetch is blocked); a fetched FFmpeg shall be integrity-verified per SR-029 before use.","Implements SN-023 so the tool needs neither admin rights nor (with the fallback) an internet connection; per-user install avoids forced elevation and the existing-FFmpeg path keeps it usable on locked-down/offline PCs.","State online-fetch: with FFmpeg absent and network available, the tool downloads FFmpeg into a per-user directory (e.g. under %LOCALAPPDATA%/%APPDATA%) without requesting elevation, verifies it (SR-029), and subsequently locates it for `validate`/`build`. State offline-existing: with no network but a user-supplied/configured path to an existing FFmpeg, the tool uses that FFmpeg and completes `validate`/`build` with no download. State offline-none: with no network and no existing FFmpeg, the tool does not silently proceed — it reports FFmpeg-unavailable in plain language and exits non-zero (consistent with SR-012). No path requires administrator rights.","state={online-fetch,offline-existing,offline-none}; install-scope=per-user; elevation-required=no",M,Test,Implemented
SR-028,Interactive-only prompts; non-interactive path never blocks,SN-024,"The system shall show GUI/wizard/prompts only in an interactive session, and in a non-interactive invocation (e.g. `--non-interactive`, `--config <path>`, or no attached console) shall never display a GUI or block waiting for input — instead always running to completion or exiting with a clear non-zero status.","Implements SN-024 so an unattended/CI/scheduled run can never hang on a dialog; this is the critical guardrail that keeps automation and the test harness from blocking.","Interactive (tty) session with no config: wizard/prompts may appear. Non-interactive session: supplying `--config <valid>` (or `--non-interactive`) runs `validate`/`build` to completion with NO GUI/prompt shown and no wait for input; a non-interactive run that lacks a usable config or dependency exits non-zero with a plain message rather than launching a GUI or blocking. CI: under the test harness/CI (no console / non-interactive) every invocation terminates (completes or exits non-zero) within bounded time and never opens a dialog.","interactive={tty,non-interactive,ci}; config={present,absent}; gui-shown={maybe-when-tty,never-when-noninteractive}; blocks=never",M,Test,Verified
SR-029,Downloaded FFmpeg integrity-verified against pinned checksum,SN-026,"The system shall verify an auto-fetched FFmpeg against a pinned/trusted checksum before first use, and on a mismatch shall abort with a plain-language error and shall not execute the downloaded binary.","Implements SN-026 so the user never unknowingly runs a tampered or corrupted FFmpeg fetched over the network; a security guardrail on the SR-027 auto-fetch.","After an auto-fetch (SR-027), the downloaded FFmpeg's checksum is computed and compared to a pinned/trusted value before any execution; on match the binary is used; on mismatch (or missing/corrupt download) the tool emits a plain-language integrity-failure message, does not execute the suspect binary, and exits non-zero. The pinned checksum/source is recorded in the binary/config, not fetched unauthenticated alongside the download.","verify={match,mismatch}; action={use-on-match,abort-no-exec-on-mismatch}; checksum=pinned",M,Test,Verified
SR-030,Config-write location precedence reported and re-read,SN-025,"The system shall write the config beside `make_video_slideshow.exe` when that directory is writable, otherwise fall back to `%APPDATA%`, shall report the chosen location to the user, and shall read the config back from the same precedence on subsequent runs.","Implements SN-025 so the user can find/back up/tweak settings later and the tool still works when its own folder is read-only (e.g. Program Files).","When the exe's own directory is writable, the config is written there; when it is read-only, the config is written under `%APPDATA%`; in both cases the chosen path is reported to the user in plain language; a subsequent run locates and re-reads the config from the same precedence (beside-exe first, then %APPDATA%) without re-prompting/re-running the wizard.","exe-dir={writable,read-only}; location={beside-exe,appdata}; reported=yes; re-read=yes",S,Test,Verified
SR-031,Sub-pixel-smooth Ken Burns with optional fixed focus / ROI database,SN-027;SN-012;SN-005,"The system shall render the Ken Burns pan/zoom/rotation with sub-pixel sampling so motion advances smoothly frame-to-frame (no integer-pixel stepping), and shall support anchoring the zoom on a fixed focus point — supplied per output via a default focus or per image via an optional region-of-interest (ROI) database (a JSON map keyed by the image's path relative to media_root, each value a normalized point or bounding box) — so that, when a focus is given, the chosen point/region stays at a constant screen position for the whole clip instead of drifting; with no focus given, images keep the default (now sub-pixel-smooth) motion, and the per-image animation remains deterministic (SR-022).","Implements SN-027: the integer-crop renderer stepped/jittered and the zoom anchor wandered, unlike the ImageMagick reference; a single floating-point warp restores smooth motion and a fixed focus (hand-set or fed from prior face/feature recognition via the ROI database) keeps the subject framed.","A rendered clip's per-frame source-sampling position changes by sub-pixel (fractional) amounts rather than snapping to whole pixels, and no rotation exposes black corners in the output region. With a focus supplied (output `default_focus` or an ROI entry for the image), the focus point maps to a constant screen fraction across every frame of the clip (no drift); an ROI entry takes precedence over `default_focus`, and an image with no entry falls back to `default_focus` or, absent that, the default two-point pan. The ROI database is loaded from the configured JSON path (point or bbox-center, normalized, clamped to [0,1]); a missing/invalid ROI file fails the run with a plain-language error. Re-running unchanged media+config yields identical per-clip motion (SR-022).","focus-source={none-default-pan,output-default_focus,roi-point,roi-bbox}; roi-precedence=over-default; sampling=sub-pixel; corners=no-black",S,Test,Verified
SR-032,Source-video audio passthrough synced to the crossfaded timeline,SN-028;SN-009,"The system shall, when an output enables audio, preserve the audio of each source VIDEO clip in that output and keep it aligned with that clip's frames on the final (cross-dissolved) timeline; image clips contribute silence. The audio track shall be AAC with a per-output configurable bitrate and sample rate. An output whose album contains no audio-bearing video shall still be produced (silently), and the final output file shall appear atomically (no complete-looking partial) as for the silent path.","Implements SN-028: source video audio is part of the memory and must survive into the slideshow. Because cross-dissolves overlap clips, the output timeline is time-compressed; aligning each clip's audio to its OUTPUT start frame (not a naive concatenation) is what avoids the desync the PowerShell reference suffered.","With audio enabled and an album containing >=1 audio-bearing video, the output carries an AAC audio stream whose duration matches the video timeline and whose audio lands under each video clip's frames (delay = clip output-start-frame / fps), with silence under image segments; configured audio bitrate/sample rate are honored. With audio enabled but no audio-bearing video, a valid silent output is still produced. The final `<name>.mp4` appears only via atomic promotion of the muxed result (SR-011); a failed mux leaves no final file. With audio disabled, the output has no audio track (unchanged).","audio={enabled,disabled}; clips={video-with-audio,video-no-audio,image}; album={has-audio-video,image-only}; finalize=atomic",S,Test,Verified
SR-033,Bundled one-click demo (sample media + worked config/focus) produces a slideshow,SN-029,"The system shall ship a runnable demo (`demo.bat`) bundled beside `make_video_slideshow.exe` in the release zip that downloads integrity-verified free-use sample media into a folder beside the exe and, using a bundled valid config (SR-003) and ROI focus file (SR-031), runs `validate` then `build` to produce >=1 playable MP4 with no user-supplied media and no manual config editing; when the exe is not beside the script it shall stop with a plain actionable error and a non-zero exit without downloading, and any sample file failing its pinned SHA-256 shall be rejected (deleted, not used).","Implements SN-029 so a new user can watch the tool work end-to-end on a clean machine before risking their own photos and learns the valid input layout (media folder + config + focus file) by example; reuses the exe's own FFmpeg self-check/auto-fetch (SR-027) and the focus/audio features (SR-031/SR-032).","On a clean Windows host with the demo kit beside `make_video_slideshow.exe`, running `demo.bat` downloads the pinned free-use sample media (each verified against a pinned SHA-256), then runs `validate` and `build` to produce a playable MP4 in `demo-output`, with zero user-supplied media and zero manual config edits. exe-absent: `demo.bat` prints a named error directing the user to run from the extracted release folder or build the exe, and exits non-zero without downloading or building. checksum-mismatch: the offending file is deleted and the run aborts non-zero. The bundled `demo_config.toml` parses + passes validation and `focus.json` loads as an ROI database (a point + a bbox entry).","exe={present,absent}; media={absent-fresh,already-downloaded}; checksum={match,mismatch}; outcome={mp4-produced,named-error}",C,Demonstration,Implemented
SR-034,Selectable video encoder with hardware probe and software fallback,SN-030,"The system shall provide a config field `encoder` selecting the H.264 video encoder per output — `software` (libx264; the default, behavior unchanged), `auto`, or an explicit hardware encoder (`h264_nvenc`, `h264_qsv`, `h264_amf`). `auto` shall probe the resolved FFmpeg at preflight (encoder listing plus trial encode) and select a working hardware encoder, falling back to `software` with a logged reason when none works; an explicitly selected hardware encoder that fails the probe shall likewise fall back to `software` with a logged warning naming the encoder and reason — a build shall never fail solely because a hardware encoder/GPU is unavailable. The run output shall report the encoder actually used, and every encoder choice shall produce output satisfying the SR-005 profile.","Implements SN-030: hardware encode is the cheapest large speed win when a GPU is present (plan §3 1a), but the default must remain the verified software path and a missing/failing GPU must degrade to slower — never to a failed build (SN-030 acceptance intent); SR-005-profile invariance keeps frame compatibility independent of encoder choice. Verified 2026-07-18: all Test-method TCs (TC-063..TC-068) Verified, and the hardware leg TC-069 (NVENC Demonstration, Tier=Release) executed on the dev-box RTX 3080 at Peter's direction — evidence in the TC-069 row and status.md.","Selection/fallback (Test, pure function): each `encoder` value x probe outcome maps to a deterministic FFmpeg arg list — unset/`software` yields the current libx264 args unchanged; `auto`+probe-pass yields the probed hardware encoder; `auto` or an explicit hardware choice with probe-fail/absent yields libx264 args plus a logged fallback reason naming the encoder; no combination aborts the build for a missing GPU; `quality_crf` maps to the selected encoder's quality control (`-crf`/`-cq`/`-global_quality`). Reporting (Test): build output names the encoder in use. Profile (Test): for every encoder choice the arg list preserves the SR-005 profile fields. Hardware leg (Demonstration, Tier=Release, NVENC-capable machine — dev box RTX 3080 + ffmpeg h264_nvenc): a build with `encoder=h264_nvenc` completes, reports nvenc in use, and its output passes the SR-005 ffprobe checks.","encoder=set{software,auto,h264_nvenc,h264_qsv,h264_amf}; probe=set{pass,fail,absent}; @pairwise",M,Test,Verified
SR-035,Software x264 preset knob (default medium unchanged),SN-030,"The system shall provide a config field `x264_preset` selecting the libx264 speed preset applied on the software-encoder path only (SR-034), with documented default `medium` (FFmpeg arg list unchanged when unset), the configured value passed to FFmpeg as `-preset <value>`, an unsupported value rejected at config validation, and the quality/speed trade documented in the quick-reference (SR-020).","Implements SN-030 for machines without a usable hardware encoder (plan §3 1f): a faster preset trades some quality/size for up to ~1.5-2x software-encode speed on bulk builds; the unchanged default preserves the verified SR-005/SR-008 behavior.","Unset: FFmpeg args contain `-preset medium` exactly as today. Configured supported value: args contain `-preset <value>`. Unsupported value: config validation fails with a plain-language error naming the field and the allowed values. Output built with any supported preset still satisfies SR-005. Doc leg (Inspection): the quick-reference documents the field, its default, and the quality/speed trade.","x264_preset=set{veryfast,faster,medium,slow}; configured=set{unset,valid,invalid}",S,Test,Verified
